CustomerID,Cluster
C0001,1
C0002,3
C0003,2
C0004,5
C0005,3
C0006,5
C0007,3
C0008,2
C0009,7
C0010,7
C0011,5
C0012,2
C0013,4
C0014,2
C0015,6
C0016,4
C0017,0
C0018,6
C0019,0
C0020,1
C0021,3
C0022,3
C0023,0
C0024,6
C0025,2
C0026,1
C0027,3
C0028,3
C0029,4
C0030,4
C0031,2
C0032,5
C0033,4
C0034,4
C0035,1
C0036,6
C0037,2
C0038,2
C0039,1
C0040,3
C0041,0
C0042,4
C0043,3
C0044,0
C0045,3
C0046,6
C0047,6
C0048,1
C0049,4
C0050,1
C0051,1
C0052,2
C0053,7
C0054,3
C0055,1
C0056,3
C0057,0
C0058,4
C0059,2
C0060,2
C0061,7
C0062,7
C0063,0
C0064,0
C0065,2
C0066,1
C0067,4
C0068,1
C0069,1
C0070,0
C0071,5
C0072,1
C0073,0
C0074,0
C0075,0
C0076,2
C0077,4
C0078,3
C0079,2
C0080,2
C0081,0
C0082,5
C0083,4
C0084,3
C0085,5
C0086,2
C0087,5
C0088,3
C0089,2
C0090,3
C0091,1
C0092,3
C0093,3
C0094,6
C0095,1
C0096,1
C0097,2
C0098,4
C0099,4
C0100,2
C0101,3
C0102,1
C0103,7
C0104,2
C0105,1
C0106,3
C0107,4
C0108,4
C0109,4
C0110,2
C0111,7
C0112,1
C0113,2
C0114,1
C0115,3
C0116,6
C0117,6
C0118,5
C0119,1
C0120,1
C0121,0
C0122,6
C0123,3
C0124,2
C0125,6
C0126,5
C0127,1
C0128,2
C0129,4
C0130,1
C0131,6
C0132,0
C0133,4
C0134,3
C0135,0
C0136,2
C0137,5
C0138,2
C0139,6
C0140,3
C0141,7
C0142,3
C0143,3
C0144,4
C0145,3
C0146,3
C0147,5
C0148,1
C0149,7
C0150,4
C0151,2
C0152,2
C0153,5
C0154,1
C0155,5
C0156,6
C0157,1
C0158,2
C0159,2
C0160,2
C0161,3
C0162,3
C0163,2
C0164,2
C0165,5
C0166,2
C0167,0
C0168,5
C0169,5
C0170,2
C0171,5
C0172,2
C0173,3
C0174,5
C0175,3
C0176,4
C0177,3
C0178,2
C0179,2
C0181,1
C0182,2
C0183,4
C0184,1
C0185,6
C0186,3
C0187,5
C0188,1
C0189,2
C0190,1
C0191,5
C0192,1
C0193,3
C0194,6
C0195,2
C0196,2
C0197,1
C0198,7
C0199,1
C0200,3
